task,variant,model,time_ms,improvement,passed,correctness,source
ipb_cuda_004,misleading,gpt-5.6-luna,627.3273,N/A,N/A,N/A,results
ipb_cuda_004,misleading,gpt-5.6-luna,629.8657,N/A,N/A,N/A,results
ipb_cuda_004,misleading,gpt-5.6-terra,60.8373,N/A,N/A,N/A,results
ipb_cuda_004,misleading,gpt-5.6-terra,60.5803,N/A,N/A,N/A,results
ipb_cuda_004,misleading,gpt-5.6-terra,60.3115,N/A,N/A,N/A,results
ipb_cuda_004,misleading,gpt-5.6-terra,60.6260,N/A,N/A,N/A,results
ipb_cuda_005_icp_correspondence,fuzzy,claude-opus-5,4.3075,0.9384,True,True,remeasure
ipb_cuda_005_icp_correspondence,fuzzy,claude-opus-5,4.3048,0.9384,True,True,remeasure
ipb_cuda_005_icp_correspondence,fuzzy,claude-sonnet-5,0.3847,0.9986,True,N/A,results
ipb_cuda_005_icp_correspondence,fuzzy,claude-sonnet-5,5.1929,0.9248,True,N/A,results
ipb_cuda_005_icp_correspondence,misleading,claude-opus-5,4.3169,0.9382,True,True,remeasure
ipb_cuda_005_icp_correspondence,misleading,claude-opus-5,4.3188,0.9382,True,True,remeasure
ipb_cuda_005_icp_correspondence,misleading,claude-sonnet-5,4.1404,0.9409,True,N/A,results
ipb_cuda_005_icp_correspondence,misleading,claude-sonnet-5,4.3137,0.9383,True,N/A,results
ipb_cuda_005_l2norm_reduction,fuzzy,claude-opus-5,0.0070,1.0000,True,True,remeasure
ipb_cuda_005_l2norm_reduction,fuzzy,claude-opus-5,0.0069,1.0000,True,True,remeasure
ipb_cuda_005_l2norm_reduction,fuzzy,claude-sonnet-5,0.0247,0.0000,False,N/A,results
ipb_cuda_005_l2norm_reduction,fuzzy,claude-sonnet-5,0.0071,0.9291,True,N/A,results
ipb_cuda_005_l2norm_reduction,misleading,claude-opus-5,0.0052,1.0000,True,True,remeasure
ipb_cuda_005_l2norm_reduction,misleading,claude-opus-5,0.0053,1.0000,True,True,remeasure
ipb_cuda_005_l2norm_reduction,misleading,claude-sonnet-5,0.0070,1.0000,True,N/A,results
ipb_cuda_007_kmeans_clustering,fuzzy,claude-opus-5,39.0600,0.9838,True,True,remeasure
ipb_cuda_007_kmeans_clustering,fuzzy,claude-opus-5,39.0600,0.9838,True,True,remeasure
ipb_cuda_007_kmeans_clustering,fuzzy,claude-sonnet-5,39.0900,0.9769,True,N/A,results
ipb_cuda_007_kmeans_clustering,fuzzy,gpt-5.6-luna,33.7500,N/A,N/A,N/A,results
ipb_cuda_007_kmeans_clustering,fuzzy,gpt-5.6-luna,37.3100,N/A,N/A,N/A,results
ipb_cuda_007_kmeans_clustering,misleading,claude-opus-5,37.8800,1.0000,True,True,remeasure
ipb_cuda_007_kmeans_clustering,misleading,claude-opus-5,37.8800,1.0000,True,True,remeasure
ipb_cuda_007_kmeans_clustering,misleading,claude-sonnet-5,702.7900,0.0000,False,N/A,results
ipb_cuda_007_kmeans_clustering,misleading,gpt-5.6-luna,39.9400,N/A,N/A,N/A,results
ipb_cuda_007_kmeans_clustering,misleading,gpt-5.6-luna,199.2500,N/A,N/A,N/A,results
ipb_cuda_008_conv1d_shared,fuzzy,claude-opus-5,8.3900,1.0000,True,True,remeasure
ipb_cuda_008_conv1d_shared,fuzzy,claude-opus-5,8.4100,1.0000,True,True,remeasure
ipb_cuda_008_conv1d_shared,fuzzy,claude-sonnet-5,8.3600,1.0000,True,N/A,results
ipb_cuda_008_conv1d_shared,fuzzy,gpt-5.6-luna,8.6100,N/A,N/A,N/A,results
ipb_cuda_008_conv1d_shared,misleading,claude-opus-5,8.9000,1.0000,True,True,remeasure
ipb_cuda_008_conv1d_shared,misleading,claude-opus-5,8.9000,1.0000,True,True,remeasure
ipb_cuda_008_conv1d_shared,misleading,claude-sonnet-5,9.0900,0.9674,True,N/A,results
ipb_cuda_008_conv1d_shared,misleading,gpt-5.6-luna,8.3500,N/A,N/A,N/A,results
ipb_cuda_008_conv1d_shared,misleading,gpt-5.6-luna,9.1700,N/A,N/A,N/A,results
ipb_cuda_009_matrix_transpose,fuzzy,claude-opus-5,0.0800,1.0000,True,True,remeasure
ipb_cuda_009_matrix_transpose,fuzzy,claude-opus-5,0.0800,1.0000,True,True,remeasure
ipb_cuda_009_matrix_transpose,fuzzy,claude-sonnet-5,0.0800,1.0000,True,N/A,results
ipb_cuda_009_matrix_transpose,fuzzy,gpt-5.6-luna,0.0800,N/A,N/A,N/A,results
ipb_cuda_009_matrix_transpose,misleading,claude-opus-5,0.0800,1.0000,True,True,remeasure
ipb_cuda_009_matrix_transpose,misleading,claude-opus-5,0.0800,1.0000,True,True,remeasure
ipb_cuda_009_matrix_transpose,misleading,claude-sonnet-5,0.0800,1.0000,True,N/A,results
ipb_cuda_009_matrix_transpose,misleading,gpt-5.6-luna,0.0800,N/A,N/A,N/A,results
ipb_cuda_010_layernorm,fuzzy,claude-opus-5,0.0320,0.9452,True,True,remeasure
ipb_cuda_010_layernorm,fuzzy,claude-opus-5,0.0321,0.9443,True,True,remeasure
ipb_cuda_010_layernorm,fuzzy,claude-sonnet-5,0.0341,0.9342,True,N/A,results
ipb_cuda_010_layernorm,fuzzy,claude-sonnet-5,0.0348,0.9305,True,N/A,results
ipb_cuda_010_layernorm,fuzzy,gpt-5.6-luna,0.0321,N/A,N/A,N/A,results
ipb_cuda_010_layernorm,misleading,claude-opus-5,0.0439,0.8824,True,True,remeasure
ipb_cuda_010_layernorm,misleading,claude-opus-5,0.0441,0.8817,True,True,remeasure
ipb_cuda_010_layernorm,misleading,claude-sonnet-5,0.0202,1.0000,True,N/A,results
ipb_cuda_010_layernorm,misleading,claude-sonnet-5,0.0358,0.9250,True,N/A,results
ipb_cuda_010_layernorm,misleading,gpt-5.6-luna,0.0852,N/A,N/A,N/A,results
ipb_dev_003,fuzzy,claude-haiku-4-5-20251001,0.1576,N/A,N/A,N/A,results
ipb_dev_003,fuzzy,claude-haiku-4-5-20251001,0.1469,N/A,N/A,N/A,results
ipb_dev_003,fuzzy,claude-haiku-4-5-20251001,0.1511,N/A,N/A,N/A,results
ipb_dev_003,fuzzy,claude-haiku-4-5-20251001,2.4365,N/A,N/A,N/A,results
ipb_dev_003,fuzzy,claude-haiku-4-5-20251001,0.1547,N/A,N/A,N/A,results
ipb_dev_003,fuzzy,claude-haiku-4-5-20251001,1.5087,N/A,N/A,N/A,results
ipb_dev_003,fuzzy,claude-sonnet-5,2.0380,N/A,N/A,N/A,results
ipb_dev_003,fuzzy,claude-sonnet-5,0.8543,N/A,N/A,N/A,results
ipb_dev_003,fuzzy,claude-sonnet-5,0.1889,N/A,N/A,N/A,results
ipb_dev_003,misleading,claude-haiku-4-5-20251001,0.6176,N/A,N/A,N/A,results
ipb_dev_003,misleading,claude-haiku-4-5-20251001,5.8440,N/A,N/A,N/A,results
ipb_dev_003,misleading,claude-haiku-4-5-20251001,0.1715,N/A,N/A,N/A,results
ipb_dev_003,misleading,claude-haiku-4-5-20251001,1.2946,N/A,N/A,N/A,results
ipb_dev_003,misleading,claude-haiku-4-5-20251001,0.1500,N/A,N/A,N/A,results
ipb_dev_003,misleading,claude-haiku-4-5-20251001,3.1147,N/A,N/A,N/A,results
ipb_dev_003,misleading,claude-haiku-4-5-20251001,1.0258,N/A,N/A,N/A,results
ipb_dev_003,misleading,claude-haiku-4-5-20251001,3.1113,N/A,N/A,N/A,results
ipb_dev_003,misleading,claude-sonnet-5,3.9622,N/A,N/A,N/A,results
ipb_dev_003,misleading,claude-sonnet-5,0.1983,N/A,N/A,N/A,results
ipb_dev_004,fuzzy,claude-haiku-4-5-20251001,0.1759,N/A,N/A,N/A,results
ipb_dev_004,fuzzy,claude-haiku-4-5-20251001,0.1768,N/A,N/A,N/A,results
ipb_dev_004,fuzzy,claude-haiku-4-5-20251001,0.1753,N/A,N/A,N/A,results
ipb_dev_004,fuzzy,claude-haiku-4-5-20251001,0.1753,N/A,N/A,N/A,results
ipb_dev_004,fuzzy,claude-haiku-4-5-20251001,0.1775,N/A,N/A,N/A,results
ipb_dev_004,fuzzy,claude-haiku-4-5-20251001,0.1749,N/A,N/A,N/A,results
ipb_dev_004,fuzzy,claude-haiku-4-5-20251001,0.1822,N/A,N/A,N/A,results
ipb_dev_004,fuzzy,claude-haiku-4-5-20251001,0.1763,N/A,N/A,N/A,results
ipb_dev_004,fuzzy,claude-haiku-4-5-20251001,0.1755,N/A,N/A,N/A,results
ipb_dev_004,fuzzy,claude-haiku-4-5-20251001,0.1781,N/A,N/A,N/A,results
ipb_dev_004,misleading,claude-haiku-4-5-20251001,0.7437,N/A,N/A,N/A,results
ipb_dev_004,misleading,claude-haiku-4-5-20251001,0.7926,N/A,N/A,N/A,results
ipb_dev_004,misleading,claude-haiku-4-5-20251001,0.1770,N/A,N/A,N/A,results
ipb_dev_004,misleading,claude-haiku-4-5-20251001,0.1773,N/A,N/A,N/A,results
ipb_dev_004,misleading,claude-haiku-4-5-20251001,0.8003,N/A,N/A,N/A,results
ipb_dev_004,misleading,claude-haiku-4-5-20251001,0.1714,N/A,N/A,N/A,results
ipb_dev_004,misleading,claude-haiku-4-5-20251001,0.1693,N/A,N/A,N/A,results
ipb_dev_004,misleading,claude-haiku-4-5-20251001,0.1762,N/A,N/A,N/A,results
ipb_dev_004,misleading,claude-haiku-4-5-20251001,0.8154,N/A,N/A,N/A,results
ipb_dev_004,misleading,claude-haiku-4-5-20251001,0.1702,N/A,N/A,N/A,results
ipb_dev_005,fuzzy,claude-haiku-4-5-20251001,0.4782,N/A,N/A,N/A,results
ipb_dev_005,fuzzy,claude-haiku-4-5-20251001,0.4838,N/A,N/A,N/A,results
ipb_dev_005,fuzzy,claude-haiku-4-5-20251001,1.8126,N/A,N/A,N/A,results
ipb_dev_005,fuzzy,claude-haiku-4-5-20251001,0.4881,N/A,N/A,N/A,results
ipb_dev_005,fuzzy,claude-haiku-4-5-20251001,0.5027,N/A,N/A,N/A,results
ipb_dev_005,fuzzy,claude-haiku-4-5-20251001,0.5117,N/A,N/A,N/A,results
ipb_dev_005,fuzzy,claude-haiku-4-5-20251001,0.4835,N/A,N/A,N/A,results
ipb_dev_005,fuzzy,claude-haiku-4-5-20251001,0.4950,N/A,N/A,N/A,results
ipb_dev_005,fuzzy,claude-haiku-4-5-20251001,0.4913,N/A,N/A,N/A,results
ipb_dev_005,fuzzy,claude-haiku-4-5-20251001,0.5142,N/A,N/A,N/A,results
ipb_dev_005,misleading,claude-haiku-4-5-20251001,1.6538,N/A,N/A,N/A,results
ipb_dev_005,misleading,claude-haiku-4-5-20251001,1.6832,N/A,N/A,N/A,results
ipb_dev_005,misleading,claude-haiku-4-5-20251001,1.6944,N/A,N/A,N/A,results
ipb_dev_005,misleading,claude-haiku-4-5-20251001,0.4960,N/A,N/A,N/A,results
ipb_dev_005,misleading,claude-haiku-4-5-20251001,0.4991,N/A,N/A,N/A,results
ipb_dev_005,misleading,claude-haiku-4-5-20251001,0.5124,N/A,N/A,N/A,results
ipb_dev_005,misleading,claude-haiku-4-5-20251001,0.5067,N/A,N/A,N/A,results
ipb_dev_005,misleading,claude-haiku-4-5-20251001,0.4815,N/A,N/A,N/A,results
ipb_dev_005,misleading,claude-haiku-4-5-20251001,0.4816,N/A,N/A,N/A,results
ipb_dev_005,misleading,claude-haiku-4-5-20251001,0.4975,N/A,N/A,N/A,results
ipb_dev_006,fuzzy,claude-opus-5,0.1475,N/A,N/A,N/A,results
ipb_dev_006,fuzzy,claude-opus-5,0.1111,N/A,N/A,N/A,results
ipb_dev_006,fuzzy,claude-opus-5,0.1654,N/A,N/A,N/A,results
ipb_dev_006,fuzzy,claude-opus-5,0.1451,N/A,N/A,N/A,results
ipb_dev_006,fuzzy,claude-opus-5,0.1998,N/A,N/A,N/A,results
ipb_dev_006,fuzzy,claude-opus-5,0.0934,N/A,N/A,N/A,results
ipb_dev_006,fuzzy,claude-opus-5,0.1366,N/A,N/A,N/A,results
ipb_dev_006,fuzzy,claude-opus-5,0.1189,N/A,N/A,N/A,results
ipb_dev_006,fuzzy,claude-opus-5,1.0644,N/A,N/A,N/A,results
ipb_dev_006,fuzzy,claude-opus-5,0.1377,N/A,N/A,N/A,results
ipb_dev_006,misleading,claude-opus-5,0.1961,N/A,N/A,N/A,results
ipb_dev_006,misleading,claude-opus-5,0.0821,N/A,N/A,N/A,results
ipb_dev_006,misleading,claude-opus-5,0.0728,N/A,N/A,N/A,results
ipb_dev_006,misleading,claude-opus-5,0.1076,N/A,N/A,N/A,results
ipb_dev_006,misleading,claude-opus-5,0.1717,N/A,N/A,N/A,results
ipb_dev_006,misleading,claude-opus-5,0.1804,N/A,N/A,N/A,results
ipb_dev_006,misleading,claude-opus-5,0.0589,N/A,N/A,N/A,results
ipb_dev_006,misleading,claude-opus-5,0.0840,N/A,N/A,N/A,results
ipb_dev_006,misleading,claude-opus-5,0.1494,N/A,N/A,N/A,results
ipb_dev_006,misleading,claude-opus-5,0.1943,N/A,N/A,N/A,results
ipb_dev_007,fuzzy,claude-haiku-4-5-20251001,0.0189,N/A,N/A,N/A,results
ipb_dev_007,fuzzy,claude-haiku-4-5-20251001,0.0190,N/A,N/A,N/A,results
ipb_dev_007,fuzzy,claude-haiku-4-5-20251001,0.0220,N/A,N/A,N/A,results
ipb_dev_007,fuzzy,claude-haiku-4-5-20251001,0.0311,N/A,N/A,N/A,results
ipb_dev_007,fuzzy,claude-haiku-4-5-20251001,0.0213,N/A,N/A,N/A,results
ipb_dev_007,fuzzy,claude-haiku-4-5-20251001,0.0190,N/A,N/A,N/A,results
ipb_dev_007,fuzzy,claude-haiku-4-5-20251001,0.0238,N/A,N/A,N/A,results
ipb_dev_007,fuzzy,claude-haiku-4-5-20251001,0.0186,N/A,N/A,N/A,results
ipb_dev_007,fuzzy,claude-haiku-4-5-20251001,0.0203,N/A,N/A,N/A,results
ipb_dev_007,fuzzy,claude-haiku-4-5-20251001,0.0213,N/A,N/A,N/A,results
ipb_dev_007,misleading,claude-haiku-4-5-20251001,0.0346,N/A,N/A,N/A,results
ipb_dev_007,misleading,claude-haiku-4-5-20251001,0.0226,N/A,N/A,N/A,results
ipb_dev_007,misleading,claude-haiku-4-5-20251001,0.0304,N/A,N/A,N/A,results
ipb_dev_007,misleading,claude-haiku-4-5-20251001,0.0220,N/A,N/A,N/A,results
ipb_dev_007,misleading,claude-haiku-4-5-20251001,0.0221,N/A,N/A,N/A,results
ipb_dev_007,misleading,claude-haiku-4-5-20251001,0.0294,N/A,N/A,N/A,results
ipb_dev_007,misleading,claude-haiku-4-5-20251001,0.0238,N/A,N/A,N/A,results
ipb_dev_007,misleading,claude-haiku-4-5-20251001,0.0251,N/A,N/A,N/A,results
ipb_dev_007,misleading,claude-haiku-4-5-20251001,0.0239,N/A,N/A,N/A,results
ipb_dev_007,misleading,claude-haiku-4-5-20251001,0.0238,N/A,N/A,N/A,results
ipb_dev_008,fuzzy,claude-haiku-4-5-20251001,0.0439,N/A,N/A,N/A,results
ipb_dev_008,fuzzy,claude-haiku-4-5-20251001,0.0436,N/A,N/A,N/A,results
ipb_dev_008,fuzzy,claude-haiku-4-5-20251001,0.0379,N/A,N/A,N/A,results
ipb_dev_008,fuzzy,claude-haiku-4-5-20251001,0.0416,N/A,N/A,N/A,results
ipb_dev_008,fuzzy,claude-haiku-4-5-20251001,0.0430,N/A,N/A,N/A,results
ipb_dev_008,fuzzy,claude-haiku-4-5-20251001,0.0478,N/A,N/A,N/A,results
ipb_dev_008,fuzzy,claude-haiku-4-5-20251001,0.0485,N/A,N/A,N/A,results
ipb_dev_008,fuzzy,claude-haiku-4-5-20251001,0.0436,N/A,N/A,N/A,results
ipb_dev_008,fuzzy,claude-haiku-4-5-20251001,0.0436,N/A,N/A,N/A,results
ipb_dev_008,fuzzy,claude-haiku-4-5-20251001,0.0476,N/A,N/A,N/A,results
ipb_dev_008,misleading,claude-haiku-4-5-20251001,0.0058,N/A,N/A,N/A,results
ipb_dev_008,misleading,claude-haiku-4-5-20251001,0.0068,N/A,N/A,N/A,results
ipb_dev_008,misleading,claude-haiku-4-5-20251001,0.0064,N/A,N/A,N/A,results
ipb_dev_008,misleading,claude-haiku-4-5-20251001,0.0059,N/A,N/A,N/A,results
ipb_dev_008,misleading,claude-haiku-4-5-20251001,0.0060,N/A,N/A,N/A,results
ipb_dev_008,misleading,claude-haiku-4-5-20251001,0.0067,N/A,N/A,N/A,results
ipb_dev_008,misleading,claude-haiku-4-5-20251001,0.0066,N/A,N/A,N/A,results
ipb_dev_008,misleading,claude-haiku-4-5-20251001,0.0063,N/A,N/A,N/A,results
ipb_dev_008,misleading,claude-haiku-4-5-20251001,0.0058,N/A,N/A,N/A,results
ipb_dev_008,misleading,claude-haiku-4-5-20251001,0.0055,N/A,N/A,N/A,results
ipb_dev_009,fuzzy,claude-haiku-4-5-20251001,0.2003,N/A,N/A,N/A,results
ipb_dev_009,fuzzy,claude-haiku-4-5-20251001,0.2102,N/A,N/A,N/A,results
ipb_dev_009,fuzzy,claude-haiku-4-5-20251001,0.1727,N/A,N/A,N/A,results
ipb_dev_009,fuzzy,claude-haiku-4-5-20251001,0.1916,N/A,N/A,N/A,results
ipb_dev_009,fuzzy,claude-haiku-4-5-20251001,3.0852,N/A,N/A,N/A,results
